Q213924,codex
Q13232341,textual criticism of the New Testament
Q13406463,Q13406463
Q5,human
Q179461,religious text
Q215495,carta
Q29154430,book of the Bible
Q29154515,chapter of the Bible
Q43091,orthography
Q3331189,"version, edition, or translation"
Q87167,manuscript
Q7725634,literary work
Q34770,language
Q1288568,modern language
Q284465,lectionary
Q1110794,daily newspaper
Q1153191,online newspaper
Q11740816,Q11740816
Q274076,palimpsest
Q16767597,artistic type
Q1664720,institute
Q31855,research institute
Q118289,pericope
Q1668124,interpolation
Q22704077,biblical episode
Q1406161,artistic theme
Q4164871,position
Q107120393,Slavic titles
Q2085381,publisher
Q4830453,business
Q1320047,book publisher
Q18602566,book format
Q205299,paper size
Q1002697,periodical
Q131841,idea
Q29154550,verse of the Bible
Q30149195,biblical concept
Q11032,newspaper
Q2615240,Gospel harmony
Q1616547,polyglot
Q12737077,occupation
Q7075,library
Q21995289,Polyglot bible
Q34274,gospel
Q47461344,written work
Q1047113,specialty
Q19793459,Greek letter
Q44613,monastery
Q816829,periodization
Q11514315,historical period
Q877729,handicraft
Q8187769,economic activity
Q6718887,New Testament apocrypha
Q22806,national library
Q1769139,reference library
Q1438040,research library
Q2495568,universal library
Q3343298,non-departmental public body
Q570116,tourist attraction
Q856584,library building
Q512187,federal republic
Q842112,socialist state
Q3024240,historical country
Q3624078,sovereign state
Q849866,communist state
Q1323642,transcontinental country
Q1335818,supranational union
Q3062294,Latin phrase
Q11862829,academic discipline
Q4671286,academic major
Q11773926,ecclesiastical occupation
Q63188683,Christian religious occupation
Q18534,metaphor
Q7553,translation
Q51576574,Mediterranean country
Q6256,country
Q183342,federal city of Russia
Q1549591,big city
Q4442912,capital of Russia
Q27554677,former capital
Q50330360,second largest city
Q51929311,largest city
Q1637706,million city
Q7930989,city/town
Q43263,federal subject of Russia
Q2360980,unit of amount
Q107478770,document genre
Q64689000,testament
Q734832,typographical error
Q86860,Bible translation
Q45762,dead language
Q436240,ancient language
Q839470,sacred language
Q1295240,miscellany
Q17518870,group of literary works
Q1614239,compilation
Q461183,text corpus
Q12131624,city ​​in Ukraine
Q2989457,urban-type settlement
Q29334,Septuagint
Q3918,university
Q3354859,collegiate university
Q38723,higher education institution
Q5341295,educational organization
Q355567,noble title
Q824979,group
Q223393,literary genre
Q33260112,script
Q8229,Latin script
Q8502,mountain
Q201410,deuterocanonical books
Q3620673,Jewish apocryphon
Q1280834,Bible society
Q486972,human settlement
Q755017,tell
Q839954,archaeological site
Q170207,Biblical apocrypha
Q34763,peninsula
Q21752084,Roman archaeological site
Q756780,colonia
Q11177771,artistic technique
Q690851,Gospel Book
Q133492,letter
Q1318295,narrative
Q395295,agony
Q28813620,set
Q17489659,group of works
Q170584,project
Q28564,public library
Q17431399,national museum
Q207694,art museum
Q680458,critical edition
Q11016,technology
Q100349043,space instrument
Q856234,academic library
Q36975,glyph
Q754984,sound change
Q182545,stylistic device
Q14795564,point in time with respect to recurrent timeframe
Q645883,military operation
Q3186692,calendar year
Q235684,common year starting and ending on Tuesday
Q56242215,Catholic cathedral
Q120560,minor basilica
Q317557,parish church
Q235680,common year starting and ending on Friday
Q7278,political party
Q217019,leap year starting on Thursday and ending on Friday
Q235687,common year starting and ending on Monday
Q19828,leap year
Q217041,leap year starting on Sunday and ending on Monday
Q235673,common year starting and ending on Saturday
Q207320,paramilitary
Q7210356,political organization
Q1239328,national encyclopedia
Q35127,website
Q615699,Internet encyclopedia
Q18168594,lexicon
Q235690,common year starting and ending on Thursday
Q294414,public office
Q217024,leap year starting on Monday and ending on Tuesday
Q235676,common year starting and ending on Wednesday
Q577,year
Q107471279,chemistry award
Q1371150,hostage crisis
Q5791104,international crisis
Q235670,common year starting and ending on Sunday
Q217026,leap year starting on Saturday and ending on Sunday
Q198,war
Q217015,leap year starting on Wednesday and ending on Thursday
Q56242250,Anglican or episcopal cathedral
Q4586781,Royal Peculiar
Q1391145,professional society
Q15911314,association
Q217034,leap year starting on Tuesday and ending on Wednesday
Q49848,document
Q49773,social movement
Q48349,empire
Q131401,caliphate
Q7275,state
Q1045608,prefecture
Q234497,special forces
Q216353,title
Q63188808,Catholic religious occupation
Q1814351,public health intervention
Q5119,capital
Q174844,megacity
Q515,city
Q200250,metropolis
Q1066984,financial centre
Q7892363,United States cable news
Q561068,specialty channel
Q131569,treaty
Q20643955,human biblical figure
Q18123741,infectious disease
Q314676,notifiable disease
Q168983,conflagration
Q112099,island nation
Q65010179,Wikimedia introduction to topic
Q183039,form of state
Q1307214,form of government
Q103495,world war
Q1649443,national Church
Q2325038,state church
Q3586152,Episcopal Church
Q23442,island
Q11303,skyscraper
Q7094076,online database
Q1331793,media company
Q19967801,online service
Q3455524,administrative region
Q39911,decade
Q859563,secular state
Q1520223,constitutional republic
Q465613,people's republic
Q118365,dictatorship of the proletariat
Q15634554,state with limited recognition
Q17279032,elective office
Q317548,resort town
Q10545864,kism
Q20181813,colonial power
Q7270,republic
Q12876,tank
Q235729,common year
Q66724388,autonomous country within the Kingdom of Denmark
Q63791824,country bordering the Baltic Sea
Q902104,private university
Q15936437,research university
Q1188663,Colonial Colleges
Q23002054,private not-for-profit educational institution
Q45400320,open-access publisher
Q39594,bay
Q178561,battle
Q16334295,group of humans
Q1062856,anniversary
Q217036,leap year starting on Friday and ending on Saturday
Q57362,autonomous region of the People's Republic of China
Q123480,landlocked country
Q28640,profession
Q476068,Act of Congress in the United States
Q11422631,United Nations Depository Library
Q53251146,parliamentary archive
Q378427,literary award
Q1956962,Soyuz 7K-OK
Q752783,human spaceflight
Q77872752,physics experiment
Q41298,magazine
Q133156,colony
Q34876,province
Q2755753,area of London
Q3957,town
Q25917154,car bombing
Q15661340,ancient city
Q133442,city-state
Q148837,polis
Q47164206,day in the Eastern Orthodox liturgical calendar
Q245065,intergovernmental organization
Q124734,rebellion
Q1445650,holiday
Q1064394,Space Shuttle orbiter
Q28171280,ancient civilization
Q3502482,cultural region
Q1620908,historical region
Q21114371,episcopal function
Q56389217,current year
Q644371,international airport
Q1248784,airport
Q94993988,commercial traffic aerodrome
Q6881511,enterprise
Q891723,public company
Q20901295,foreign affairs ministry
Q11315,shopping center
Q1416653,newspaper of record
Q949819,ship canal
Q1907114,metropolitan area
Q26540,artificial satellite
Q95945728,technology demonstration spacecraft
Q107555073,Q107555073
Q10689397,television production company
Q1197685,public holiday
Q107494520,physics award
Q15056993,aircraft family
Q9430,ocean
Q12909644,political ideology
Q83267,crime
Q21605492,NASA program
Q13226541,human spaceflight program
Q6065085,political party in Spain
Q148578,space observatory
Q1062138,Ritchey–Chrétien telescope
Q17524420,aspect of history
Q4176199,cold war
Q1469686,perpetual war
Q864113,proxy war
Q109335991,Tradition
Q9174,religion
Q879146,Christian denomination
Q41397,genocide
Q13634374,ethnic violence
Q189445,bicameral legislature
Q1641112,social formation
Q43229,organization
Q47064,military personnel
Q781132,military branch
Q366301,research expedition
Q1309431,structural failure
Q15142889,weapon family
