1,Q13218805,multistorey car park
2,Q664573,transform fault
3,Q6484291,Islamic holidays
4,Q76429986,nuclear physics term
5,Q1321926,constructible number
6,Q7639615,Sunday magazine
7,Q1076968,digital media
8,Q66740226,military term
9,Q15026,chair
10,Q58927801,ethical theory
11,Q1259977,extract
12,Q23828916,Chiba-ken Tōhō-oki Earthquakes
13,Q13382355,archer
14,Q13423452,First Full Moon Festival
15,Q7259957,Punch marked coins
16,Q2512777,simple substance
17,Q3270632,national championship
18,Q181266,Itzulia Basque Country
19,Q27215890,"hexane-1,2,3,4,5,6-hexol"
20,Q9826,high school
21,Q1057026,cargo airline
22,Q117850,doctrine
23,Q7193800,poultry disease
24,Q18168594,lexicon
25,Q259776,U.S. Open
26,Q631229,arcade system board
27,Q177305,observation deck
28,Q48851989,state-owned enterprise of the United States
29,Q641226,arena
30,Q28149961,type of fruit
31,Q66765217,officially recognised youth welfare service
32,Q17301324,Geograph
33,Q15126161,prototype aircraft model
34,Q4839591,backcountry
35,Q1349167,ground station
36,Q245016,military base
37,Q59950,urbanism
38,Q748198,gay village
39,Q35456,essential medicine
40,Q863974,lake island
41,Q63247903,Fare
42,Q354869,image sharing
43,Q110211119,former municipality in Latvia
44,Q52947181,public statement
45,Q4200688,indigenous languages of North America
46,Q6083496,island group of the Philippines
47,Q29380,sponsored top-level domain
48,Q9016273,None
49,Q19935939,branch of geography
50,Q21009055,Class IB flammable liquid
51,Q45701,waste
52,Q3947,house
53,Q85827478,smart contract platform
54,Q1970365,natural history museum
55,Q58199,instant messaging
56,Q41662005,Hebrew letter
57,Q2400152,aniline dyes
58,Q1062780,forum
59,Q4120621,rank
60,Q1095194,circumlocution
61,Q1962682,icon painting
62,Q39875001,measure
63,Q4611891,association football position
64,Q1662123,industry association
65,Q30089777,patriotic society
66,Q764285,chemical property
67,Q5449917,"finders, keepers"
68,Q2110808,religious behaviour
69,Q6961870,None
70,Q123577,US Open
71,Q1403502,pentatope number
72,Q15141715,vampire in Twilight
73,Q205805,conservation law
74,Q16103215,boat type
75,Q20857065,United States federal agency
76,Q2001982,notation
77,Q36507,millennium
78,Q15788,rubles
79,Q796194,medical procedure
80,Q7209526,police tactical unit
81,Q1133024,Lie superalgebra
82,Q48352,head of state
83,Q853725,social relation
84,Q14660,flag
85,Q2558684,world day
86,Q735160,crude drug
87,Q1299240,interior space
88,Q4137683,heterogram
89,Q11012,robot
90,Q23090506,negation
91,Q55542,lossless compression
92,Q19850234,hill group
93,Q63143903,episode in Greek mythology
94,Q2962925,fictional horse
95,Q2151232,townland
96,Q19311591,Golden Globe Award ceremony
97,Q17119302,sugar candy
98,Q20858006,federal law enforcement agency of the United States
99,Q34315358,demon in a work of fiction
100,Q50323322,unit of illumination
101,Q104805859,Jewish organization
102,Q3354859,collegiate university
103,Q498289,dual-listed company
104,Q41796,sentence
105,Q95652804,A-bombed building
106,Q28864179,proposed country
107,Q1208989,beef cattle
108,Q7778426,particle decay
109,Q11269813,cave with prehistoric art
110,Q5303685,doxastic attitude
111,Q61961344,group of physical objects
112,Q744099,hillfort
113,Q50686,single-party state
114,Q7830213,township of New Jersey
115,Q83057,region of Belgium
116,Q33829,human population
117,Q44142,Bad
118,Q1292119,style
119,Q15921555,flight
120,Q23691297,knowledge crystal
121,Q15982170,leisure park
122,Q66108498,Wonder of the Ancient World
123,Q635366,UCI World Tour
124,Q846303,biogeochemical cycle
125,Q23002039,public educational institution of the United States
126,Q35657,U.S. state
127,Q13112752,fortnightly magazine
128,Q115291,province of Cuba
129,Q30319077,mythological elephant
130,Q108676140,audio content genre
131,Q1061047,blood libel
132,Q25796237,political group of the European Parliament
133,Q7675376,group sex
134,Q273395,privilege
135,Q487973,Tour de Romandie
136,Q3678424,city with special status
137,Q3254959,race
138,Q7708485,textile process
139,Q20643324,opera genre
140,Q1417728,trade name
141,Q42889,vehicle
142,Q160151,price
143,Q72926449,church tower
144,Q3406743,manufactured product
145,Q27925057,electoral principate
146,Q223740,European Film Awards
